ID,Nombre,Apellido,Edad,Region,Patrimonio,Historial_Crediticio,Variable_1,Variable_2,Variable_3,Variable_4,Ciudad
1,Mateo,Pérez,69.0,O'Higgins,729426.0,Malo,88.0,15.0,6.0,252.0,San Fernando
2,Martina,Contreras,,,963943.0,Bueno,74.0,9.0,149.0,35.0,Curicó
3,Valentina,González,78.0,Valparaíso,155675.0,Bueno,31.0,11.0,173.0,270.0,Valparaíso
4,Martina,Martínez,38.0,Biobío,227379.0,Malo,8.0,,0.0,87.0,Talcahuano
5,Martina,Silva,41.0,Maule,225694.0,Bueno,98.0,,138.0,202.0,
6,Martina,Contreras,20.0,Araucanía,20932.0,Regular,56.0,40.0,60.0,79.0,Temuco
7,Valentina,Rojas,39.0,Maule,,Bueno,11.0,19.0,78.0,128.0,
8,Sofía,,70.0,O'Higgins,,Bueno,,34.0,,,San Fernando
9,Emilia,Martínez,19.0,,602525.0,Bueno,45.0,49.0,137.0,70.0,Puente Alto
10,,Pérez,47.0,O'Higgins,,Bueno,96.0,22.0,,144.0,Pichilemu
11,Mateo,Soto,55.0,Valparaíso,69230.0,,36.0,29.0,97.0,61.0,Viña del Mar
12,Sofía,Sepúlveda,19.0,Araucanía,210386.0,Bueno,90.0,34.0,112.0,,Pucón
13,Martina,Díaz,81.0,Valparaíso,290294.0,Bueno,85.0,31.0,46.0,,Viña del Mar
14,Sofía,Sepúlveda,,O'Higgins,786543.0,Bueno,47.0,10.0,136.0,101.0,Pichilemu
15,Agustín,Martínez,38.0,Metropolitana,,Bueno,31.0,29.0,,254.0,Puente Alto
16,Sofía,Sepúlveda,50.0,O'Higgins,44092.0,Bueno,74.0,1.0,159.0,109.0,San Fernando
17,,Díaz,75.0,Valparaíso,,Bueno,,42.0,49.0,279.0,Quilpué
18,Agustín,Soto,39.0,Araucanía,416392.0,Bueno,,22.0,0.0,,Pucón
19,Sofía,Silva,66.0,Metropolitana,,Bueno,,,148.0,72.0,Maipú
20,,González,76.0,Araucanía,826903.0,,42.0,,,128.0,Temuco
21,Valentina,González,59.0,Metropolitana,98005.0,Regular,20.0,7.0,151.0,,Maipú
22,Martina,Rojas,77.0,Metropolitana,,Bueno,27.0,18.0,,48.0,Maipú
23,Sofía,Sepúlveda,32.0,,337945.0,Regular,51.0,43.0,32.0,175.0,Talca
24,,Silva,79.0,O'Higgins,,Regular,,7.0,3.0,214.0,Rancagua
25,Mateo,Silva,79.0,Araucanía,932543.0,Bueno,93.0,17.0,15.0,37.0,Temuco
26,Isidora,Díaz,64.0,,248468.0,Bueno,84.0,43.0,76.0,99.0,Puente Alto
27,Sebastián,Díaz,79.0,Metropolitana,642531.0,Bueno,,38.0,56.0,135.0,
28,Martina,González,68.0,Biobío,275127.0,Bueno,94.0,17.0,184.0,104.0,Chillán
29,Sebastián,Díaz,72.0,O'Higgins,507143.0,Malo,21.0,4.0,45.0,,Rancagua
30,Emilia,Pérez,,Araucanía,,Malo,59.0,27.0,104.0,240.0,Temuco
31,Sebastián,Silva,20.0,Biobío,881722.0,,30.0,12.0,191.0,58.0,Chillán
32,,González,68.0,Metropolitana,838697.0,Bueno,28.0,29.0,86.0,134.0,Puente Alto
33,Agustín,,24.0,Biobío,582180.0,Regular,54.0,,180.0,168.0,
34,Mateo,Sepúlveda,38.0,Valparaíso,,Regular,94.0,14.0,155.0,293.0,Valparaíso
35,Sofía,Rojas,56.0,O'Higgins,661233.0,Bueno,41.0,9.0,67.0,163.0,San Fernando
36,Isidora,González,35.0,Araucanía,709905.0,Bueno,28.0,36.0,135.0,3.0,
37,Emilia,Díaz,21.0,Araucanía,10691.0,Bueno,25.0,37.0,58.0,217.0,Villarrica
38,Mateo,Contreras,77.0,Valparaíso,439210.0,,30.0,38.0,61.0,8.0,Quilpué
39,Mateo,Rojas,31.0,O'Higgins,843262.0,Regular,44.0,48.0,137.0,56.0,Rancagua
40,Mateo,Silva,26.0,Valparaíso,,Malo,87.0,30.0,108.0,74.0,
41,Mateo,Contreras,70.0,Biobío,,Regular,31.0,42.0,1.0,198.0,Concepción
42,Sofía,Pérez,19.0,Valparaíso,871797.0,Bueno,27.0,29.0,164.0,244.0,Valparaíso
43,Benjamín,Soto,77.0,Metropolitana,155880.0,Regular,57.0,20.0,20.0,118.0,Maipú
44,Isidora,Rojas,61.0,,206445.0,Bueno,59.0,39.0,127.0,139.0,Quilpué
45,Isidora,Rojas,25.0,Biobío,687372.0,Bueno,44.0,21.0,127.0,220.0,Talcahuano
46,Isidora,Contreras,64.0,Maule,352435.0,Bueno,19.0,47.0,52.0,259.0,Curicó
47,Mateo,Sepúlveda,52.0,Araucanía,713016.0,Bueno,,0.0,,279.0,Villarrica
48,Valentina,Silva,53.0,Valparaíso,157703.0,Bueno,52.0,31.0,,10.0,Viña del Mar
49,,González,,O'Higgins,252269.0,Bueno,28.0,47.0,198.0,269.0,Pichilemu
50,Sofía,Pérez,21.0,Maule,,Bueno,15.0,16.0,110.0,207.0,
51,Benjamín,,19.0,Valparaíso,952910.0,Regular,,6.0,179.0,60.0,Valparaíso
52,Agustín,González,23.0,Metropolitana,405403.0,Bueno,13.0,14.0,157.0,284.0,Maipú
53,Martín,Contreras,71.0,Araucanía,337219.0,,83.0,4.0,91.0,48.0,
54,Sebastián,González,21.0,Araucanía,14202.0,Bueno,15.0,17.0,108.0,112.0,Temuco
55,Isidora,Rojas,71.0,Maule,153417.0,Regular,0.0,34.0,136.0,136.0,Linares
56,Martina,Contreras,,Valparaíso,,Bueno,39.0,40.0,152.0,136.0,Valparaíso
57,Valentina,González,35.0,Metropolitana,68502.0,Bueno,92.0,29.0,39.0,246.0,Maipú
58,,Díaz,61.0,,510739.0,Regular,52.0,35.0,72.0,254.0,Puente Alto
59,Agustín,,51.0,O'Higgins,455015.0,Bueno,1.0,2.0,137.0,9.0,Rancagua
60,Benjamín,Díaz,79.0,Biobío,767168.0,Bueno,70.0,9.0,85.0,267.0,Talcahuano
61,Isidora,Díaz,31.0,Biobío,659802.0,Regular,40.0,19.0,,171.0,Talcahuano
62,Valentina,Contreras,65.0,,445947.0,Bueno,76.0,43.0,145.0,,Santiago
63,Martín,Rojas,32.0,,224660.0,Regular,59.0,15.0,14.0,185.0,Puente Alto
64,,Sepúlveda,79.0,Maule,7928147.0,Bueno,13.0,2.0,189.0,46.0,Talca
65,Sebastián,Muñoz,57.0,,707862.0,Bueno,47.0,10.0,153.0,254.0,Talcahuano
66,Mateo,,70.0,Valparaíso,153296.0,Bueno,55.0,37.0,63.0,268.0,Quilpué
67,Emilia,González,41.0,Valparaíso,914751.0,Regular,50.0,38.0,186.0,141.0,Quilpué
68,,Contreras,43.0,Biobío,64405.0,,78.0,29.0,59.0,276.0,Talcahuano
69,Benjamín,Pérez,77.0,Valparaíso,55037.0,Bueno,84.0,49.0,198.0,235.0,Quilpué
70,,Pérez,58.0,Maule,187350.0,Bueno,66.0,32.0,94.0,200.0,Curicó
71,Sofía,,,,909460.0,Bueno,3.0,,91.0,159.0,San Fernando
