customer_id,first_name,age,email,country,estado_civil,nivel_de_educacion
1.0,Dakota,64.0,user1@example.com,Japan,Casado/a,Postgrado
2.0,Casey,63.0,user2@example.com,UK,Viudo/a,Primaria
3.0,Robin,69.0,user3@example.com,Spain,Soltero/a,Primaria
4.0,River,36.0,user4@example.com,Mexico,Soltero/a,Postgrado
5.0,Dakota,30.0,user5@example.com,UK,Divorciado/a,Secundaria
6.0,Quinn,59.0,user6@example.com,Canada,Casado/a,Secundaria
7.0,Taylor,38.0,user7@example.com,Canada,Casado/a,Universitario
8.0,Dakota,54.0,user8@example.com,Japan,Soltero/a,Postgrado
9.0,Robin,44.0,user9@example.com,Mexico,,Universitario
10.0,River,69.0,user10@example.com,Spain,Divorciado/a,Secundaria
,Casey,46.0,user11@example.com,USA,Viudo/a,Universitario
12.0,Robin,37.0,user12@example.com,UK,Casado/a,Universitario
13.0,,42.0,user13@example.com,Spain,Viudo/a,Secundaria
14.0,Taylor,23.0,user14@example.com,Germany,Divorciado/a,Primaria
15.0,Skyler,53.0,user15@example.com,France,Soltero/a,Primaria
16.0,River,19.0,user16@example.com,Japan,Divorciado/a,Secundaria
17.0,Jordan,39.0,user17@example.com,USA,Divorciado/a,Primaria
18.0,Robin,49.0,user18@example.com,Germany,Divorciado/a,Postgrado
19.0,Skyler,33.0,user19@example.com,USA,Divorciado/a,Primaria
20.0,,35.0,user20@example.com,USA,Viudo/a,Secundaria
21.0,River,22.0,user21@example.com,Japan,Divorciado/a,Postgrado
,Alex,,user22@example.com,USA,Divorciado/a,Universitario
,Quinn,47.0,user23@example.com,Spain,Divorciado/a,Secundaria
24.0,Skyler,62.0,user24@example.com,Spain,Divorciado/a,Secundaria
25.0,Morgan,36.0,user25@example.com,Germany,Viudo/a,Primaria
26.0,Alex,40.0,user26@example.com,Canada,Divorciado/a,Postgrado
27.0,Quinn,51.0,user27@example.com,Mexico,Soltero/a,Secundaria
28.0,Taylor,30.0,user28@example.com,,Divorciado/a,Postgrado
29.0,Dakota,60.0,user29@example.com,UK,Divorciado/a,Postgrado
30.0,Casey,46.0,user30@example.com,Italy,Casado/a,Primaria
31.0,Morgan,53.0,user31@example.com,Japan,Casado/a,Secundaria
32.0,Taylor,39.0,user32@example.com,Australia,Casado/a,Postgrado
33.0,River,,user33@example.com,Australia,Divorciado/a,Postgrado
34.0,Taylor,69.0,,Germany,Soltero/a,Universitario
35.0,Dakota,64.0,user35@example.com,USA,Soltero/a,Primaria
36.0,River,53.0,user36@example.com,USA,Casado/a,Secundaria
37.0,Morgan,,user37@example.com,Japan,Casado/a,Postgrado
38.0,Dakota,56.0,user38@example.com,France,Divorciado/a,Primaria
39.0,Jordan,68.0,user39@example.com,,Soltero/a,Secundaria
40.0,Casey,36.0,user40@example.com,Italy,Soltero/a,Postgrado
41.0,,55.0,user41@example.com,Spain,Casado/a,Secundaria
42.0,Jordan,23.0,,USA,Soltero/a,Secundaria
43.0,Quinn,69.0,user43@example.com,Italy,Casado/a,Primaria
44.0,Morgan,,user44@example.com,UK,Casado/a,
45.0,Quinn,32.0,user45@example.com,France,Viudo/a,Universitario
46.0,River,37.0,user46@example.com,Spain,Viudo/a,Universitario
47.0,Jordan,26.0,user47@example.com,Japan,,Universitario
48.0,Casey,49.0,user48@example.com,Italy,Casado/a,Postgrado
49.0,Dakota,21.0,user49@example.com,Germany,Divorciado/a,Universitario
50.0,Robin,67.0,user50@example.com,Spain,Viudo/a,
51.0,,35.0,user51@example.com,Japan,Soltero/a,Primaria
52.0,Alex,22.0,user52@example.com,Australia,Viudo/a,Secundaria
53.0,Casey,37.0,user53@example.com,Japan,Viudo/a,Primaria
54.0,Jordan,40.0,,Japan,Viudo/a,Primaria
55.0,Robin,28.0,user55@example.com,Spain,Soltero/a,
56.0,Casey,54.0,user56@example.com,France,Viudo/a,Secundaria
57.0,Jordan,39.0,user57@example.com,Spain,Casado/a,Postgrado
58.0,Skyler,21.0,user58@example.com,Mexico,Casado/a,
59.0,Skyler,46.0,user59@example.com,,Viudo/a,Universitario
60.0,Quinn,61.0,user60@example.com,France,Divorciado/a,Postgrado
61.0,Casey,51.0,user61@example.com,Germany,Divorciado/a,Universitario
62.0,Skyler,30.0,user62@example.com,France,Soltero/a,Postgrado
63.0,Jordan,59.0,user63@example.com,UK,Soltero/a,Primaria
64.0,Quinn,26.0,user64@example.com,Germany,Casado/a,Secundaria
65.0,Jordan,59.0,user65@example.com,Australia,Casado/a,Secundaria
66.0,,,user66@example.com,Spain,Viudo/a,Primaria
67.0,Casey,24.0,user67@example.com,Japan,Divorciado/a,Secundaria
68.0,,21.0,user68@example.com,,Casado/a,Primaria
69.0,Dakota,36.0,user69@example.com,UK,Divorciado/a,
70.0,Morgan,59.0,user70@example.com,Italy,Soltero/a,Primaria
71.0,Robin,47.0,user71@example.com,UK,Soltero/a,Postgrado
72.0,River,48.0,user72@example.com,Mexico,Viudo/a,Secundaria
73.0,Jordan,52.0,user73@example.com,Japan,Viudo/a,Postgrado
74.0,River,38.0,user74@example.com,Japan,Casado/a,Universitario
75.0,Robin,48.0,user75@example.com,USA,Divorciado/a,Primaria
76.0,Quinn,36.0,user76@example.com,Italy,Casado/a,Secundaria
77.0,Morgan,48.0,user77@example.com,USA,Casado/a,Universitario
78.0,Morgan,49.0,user78@example.com,Australia,Divorciado/a,Primaria
79.0,Alex,19.0,user79@example.com,Canada,Casado/a,Universitario
80.0,Morgan,69.0,user80@example.com,Canada,Viudo/a,Postgrado
81.0,Dakota,27.0,,Spain,Divorciado/a,Postgrado
82.0,Morgan,19.0,user82@example.com,Canada,Divorciado/a,Secundaria
83.0,Robin,19.0,user83@example.com,Japan,Casado/a,Universitario
84.0,Alex,41.0,user84@example.com,UK,Divorciado/a,Universitario
85.0,Robin,34.0,,Italy,Viudo/a,Postgrado
86.0,Robin,49.0,user86@example.com,Spain,Viudo/a,Postgrado
87.0,Taylor,33.0,user87@example.com,Spain,,Secundaria
88.0,Alex,33.0,user88@example.com,Italy,Soltero/a,Primaria
89.0,Robin,63.0,user89@example.com,Japan,Soltero/a,Secundaria
90.0,Taylor,56.0,user90@example.com,Australia,,Postgrado
91.0,Taylor,48.0,user91@example.com,Australia,Casado/a,Secundaria
92.0,Alex,60.0,user92@example.com,Spain,Soltero/a,Primaria
93.0,River,41.0,user93@example.com,Australia,Soltero/a,Postgrado
94.0,Quinn,18.0,user94@example.com,Japan,Soltero/a,Primaria
95.0,Dakota,28.0,user95@example.com,Mexico,Soltero/a,
96.0,Quinn,38.0,user96@example.com,Mexico,Casado/a,Primaria
97.0,Morgan,21.0,user97@example.com,USA,Soltero/a,Postgrado
98.0,Dakota,24.0,user98@example.com,,Divorciado/a,Postgrado
99.0,Morgan,43.0,user99@example.com,Germany,Viudo/a,Primaria
100.0,Robin,64.0,user100@example.com,Canada,,Secundaria
